time,14_x,14_y
42.4,622,366
42.44,622,366
42.48,622,365
42.52,622,364
42.56,622,363
42.6,621,362
42.64,621,364
42.68,621,365
42.72,622,363
42.76,622,361
42.8,622,360
42.84,622,359
42.88,622,358
42.92,622,358
42.96,622,357
43.0,621,356
43.04,622,356
43.08,622,355
43.12,622,355
43.16,622,353
43.2,622,353
43.24,622,352
43.28,622,351
43.32,621,351
43.36,621,351
43.4,620,352
43.44,620,353
43.48,621,353
43.52,621,353
43.56,622,352
43.6,622,351
43.64,623,351
43.68,623,350
43.72,623,350
43.76,623,349
43.8,623,349
43.84,623,348
43.88,623,348
43.92,623,347
